,,16〜18,松ケ枝マツガエ
,8,1〜 7,松ケ枝マツガエ
,,8〜,味噌蔵町
,9,,
,〜,,味噌蔵町
,12,,
,13,1〜 6,味噌蔵町
,,7〜12,材木町
,,13,味噌蔵町
,14,1、 2,材木町
,,3〜 7,味噌蔵町
,,8〜,材木町
,16,1〜10,味噌蔵町
,,11〜38,瓢箪ヒョウタン
,,39〜40,材木町
,,58〜89,味噌蔵町
加賀朝日町,,,朝日
蚊爪町,,,浅野川
柿カキ木キ畠ハタケ,,,新竪町
角間町,,,田上
角間新町,,,田上
笠市町,1,,
,〜,,瓢箪ヒョウタン
,5,,
,6,1､2,瓢箪ヒョウタン
,,3〜26,此花コノハナ
,,27〜43,瓢箪ヒョウタン
,7,1､2,瓢箪ヒョウタン
,,3〜10,此花コノハナ
,,11〜24,瓢箪ヒョウタン
,8,,瓢箪ヒョウタン
,9,1〜3,瓢箪ヒョウタン
,,4〜13,此花コノハナ
,,14〜17,瓢箪ヒョウタン
,10,,
,〜,,瓢箪ヒョウタン
,13,,
,14,1〜3,此花コノハナ
,,4〜6,瓢箪ヒョウタン
,,7〜12,此花コノハナ
,15,,瓢箪ヒョウタン
,16,,瓢箪ヒョウタン
主計町,,,材木町
笠舞町,,ナ,十一屋
,,ワ41〜43,南小立野
,,ワ64、,小立野
,,ワ65-1,
,,〜,小立野
,,ワ65-6,
笠舞１丁目,1,,
,〜,,小立野
,22,,
,23,,南小立野
笠舞２丁目,1,,
,〜,,菊川町
,5,,
,6,1〜18,小立野
,,19〜21,菊川町
,,22〜33,小立野
,7,,菊川町
,8,,
,〜,,小立野
,23,,
,24,,菊川町
,25,,
,〜,,小立野
,37,,
笠舞３丁目,1,,
,〜,,菊川町
,7,,
,8,1〜27,小立野
,,28〜37,菊川町
,,38〜43,小立野
,9,,
,〜,,小立野
,20,,
,21,,
,〜,,菊川町
,23,,
笠舞本町1丁目,1,,
,〜,,南小立野
,7,,
,10,,
,〜,,菊川町
,16,,
笠舞本町2丁目,1,,
,〜,,南小立野
